,token,year,frequency,pages,books
0,laticaudata,1800,1,1,1
1,laticaudata,1823,2,2,2
2,laticaudata,1827,1,1,1
3,laticaudata,1843,2,2,1
4,laticaudata,1844,6,6,4
5,laticaudata,1854,1,1,1
6,laticaudata,1867,1,1,1
7,laticaudata,1868,1,1,1
8,laticaudata,1873,1,1,1
9,laticaudata,1877,2,2,2
10,laticaudata,1878,3,3,2
11,laticaudata,1885,2,2,2
12,laticaudata,1888,1,1,1
13,laticaudata,1892,2,2,1
14,laticaudata,1893,6,6,6
15,laticaudata,1899,1,1,1
16,laticaudata,1901,1,1,1
17,laticaudata,1905,3,3,1
18,laticaudata,1908,2,2,2
19,laticaudata,1909,7,6,2
20,laticaudata,1910,1,1,1
21,laticaudata,1911,1,1,1
22,laticaudata,1912,1,1,1
23,laticaudata,1918,2,2,1
24,laticaudata,1924,6,3,3
25,laticaudata,1926,2,2,2
26,laticaudata,1927,1,1,1
27,laticaudata,1928,4,4,3
28,laticaudata,1932,1,1,1
29,laticaudata,1933,8,6,3
30,laticaudata,1935,1,1,1
31,laticaudata,1936,1,1,1
32,laticaudata,1938,2,2,1
33,laticaudata,1939,1,1,1
34,laticaudata,1953,7,7,2
35,laticaudata,1954,1,1,1
36,laticaudata,1957,1,1,1
37,laticaudata,1959,1,1,1
38,laticaudata,1960,4,4,1
39,laticaudata,1963,5,4,2
40,laticaudata,1965,12,8,2
41,laticaudata,1967,3,2,1
42,laticaudata,1968,3,3,2
43,laticaudata,1969,6,4,1
44,laticaudata,1971,3,3,1
45,laticaudata,1972,9,2,1
46,laticaudata,1978,6,5,2
47,laticaudata,1983,7,6,3
48,laticaudata,1984,5,4,2
49,laticaudata,1985,10,10,2
50,laticaudata,1986,7,6,2
51,laticaudata,1988,7,7,3
52,laticaudata,1989,4,4,2
53,laticaudata,2003,2,2,1
54,laticaudata,2004,1,1,1
55,laudata,1730,1,1,1
56,laudata,1738,1,1,1
57,laudata,1739,1,1,1
58,laudata,1747,1,1,1
59,laudata,1749,1,1,1
60,laudata,1753,1,1,1
61,laudata,1772,1,1,1
62,laudata,1778,3,3,3
63,laudata,1785,1,1,1
64,laudata,1801,1,1,1
65,laudata,1804,5,5,5
66,laudata,1806,2,2,2
67,laudata,1808,7,7,7
68,laudata,1810,3,3,3
69,laudata,1811,5,5,5
70,laudata,1812,8,8,5
71,laudata,1813,3,3,3
72,laudata,1814,5,5,5
73,laudata,1815,2,2,2
74,laudata,1816,2,2,2
75,laudata,1817,1,1,1
76,laudata,1818,5,5,5
77,laudata,1819,6,6,6
78,laudata,1820,1,1,1
79,laudata,1822,11,11,11
80,laudata,1823,6,6,6
81,laudata,1824,10,10,10
82,laudata,1825,8,8,8
83,laudata,1826,4,4,4
84,laudata,1827,6,6,6
85,laudata,1828,2,2,2
86,laudata,1829,13,13,13
87,laudata,1830,10,10,10
88,laudata,1831,6,6,6
89,laudata,1835,4,4,4
90,laudata,1837,2,2,1
91,laudata,1838,9,9,7
92,laudata,1839,3,3,3
93,laudata,1840,16,16,16
94,laudata,1841,3,3,3
95,laudata,1843,8,8,6
96,laudata,1844,9,9,8
97,laudata,1846,2,2,2
98,laudata,1847,3,3,3
99,laudata,1848,5,5,5
100,laudata,1849,5,5,5
101,laudata,1850,3,3,3
102,laudata,1851,8,8,5
103,laudata,1852,4,4,4
104,laudata,1853,1,1,1
105,laudata,1854,10,10,10
106,laudata,1855,16,16,11
107,laudata,1857,10,10,10
108,laudata,1858,32,32,28
109,laudata,1859,3,3,3
110,laudata,1860,16,16,15
111,laudata,1861,9,9,8
112,laudata,1862,6,6,6
113,laudata,1864,22,22,18
114,laudata,1865,4,4,4
115,laudata,1866,8,8,8
116,laudata,1867,6,6,6
117,laudata,1868,1,1,1
118,laudata,1869,4,4,3
119,laudata,1870,7,7,6
120,laudata,1871,5,5,5
121,laudata,1872,7,7,7
122,laudata,1873,1,1,1
123,laudata,1874,7,7,7
124,laudata,1875,2,2,2
125,laudata,1876,10,10,10
126,laudata,1877,4,4,4
127,laudata,1878,8,8,8
128,laudata,1879,7,7,2
129,laudata,1880,2,2,2
130,laudata,1881,3,3,3
131,laudata,1882,3,3,3
132,laudata,1883,1,1,1
133,laudata,1884,5,5,5
134,laudata,1885,1,1,1
135,laudata,1886,5,5,2
136,laudata,1887,6,6,6
137,laudata,1888,4,4,4
138,laudata,1889,7,7,6
139,laudata,1890,10,10,10
140,laudata,1891,10,10,6
141,laudata,1892,4,4,4
142,laudata,1893,3,3,3
143,laudata,1896,2,2,2
144,laudata,1897,1,1,1
145,laudata,1898,4,4,4
146,laudata,1899,3,3,3
147,laudata,1900,3,3,3
148,laudata,1901,4,4,3
149,laudata,1903,1,1,1
150,laudata,1904,2,2,1
151,laudata,1905,1,1,1
152,laudata,1906,1,1,1
153,laudata,1907,2,2,2
154,laudata,1908,1,1,1
155,laudata,1910,2,2,2
156,laudata,1911,5,5,4
157,laudata,1912,2,2,2
158,laudata,1913,1,1,1
159,laudata,1915,4,4,2
160,laudata,1916,5,5,4
161,laudata,1917,1,1,1
162,laudata,1918,2,2,2
163,laudata,1920,7,7,5
164,laudata,1923,5,5,5
165,laudata,1924,3,3,3
166,laudata,1926,1,1,1
167,laudata,1928,9,9,6
168,laudata,1929,1,1,1
169,laudata,1932,3,3,3
170,laudata,1933,15,15,8
171,laudata,1934,10,10,4
172,laudata,1935,3,3,3
173,laudata,1936,4,4,3
174,laudata,1937,2,2,2
175,laudata,1938,2,2,1
176,laudata,1939,7,7,7
177,laudata,1941,1,1,1
178,laudata,1943,3,3,3
179,laudata,1944,3,3,3
180,laudata,1946,1,1,1
181,laudata,1948,2,2,2
182,laudata,1949,7,7,6
183,laudata,1951,1,1,1
184,laudata,1952,2,2,2
185,laudata,1954,2,2,2
186,laudata,1955,3,3,3
187,laudata,1956,6,6,6
188,laudata,1957,2,2,2
189,laudata,1958,3,3,3
190,laudata,1959,1,1,1
191,laudata,1960,2,2,2
192,laudata,1961,4,4,3
193,laudata,1962,5,5,5
194,laudata,1963,3,3,2
195,laudata,1964,6,6,1
196,laudata,1965,1,1,1
197,laudata,1966,3,3,3
198,laudata,1967,5,5,3
199,laudata,1968,1,1,1
200,laudata,1969,4,4,2
201,laudata,1971,2,2,2
202,laudata,1972,3,3,2
203,laudata,1974,1,1,1
204,laudata,1977,7,7,4
205,laudata,1978,2,2,2
206,laudata,1979,2,2,1
207,laudata,1980,2,2,2
208,laudata,1982,1,1,1
209,laudata,1983,5,5,5
210,laudata,1984,3,3,3
211,laudata,1985,3,3,2
212,laudata,1986,1,1,1
213,laudata,1987,2,2,2
214,laudata,1988,1,1,1
215,laudata,1990,4,4,4
216,laudata,1991,2,2,2
217,laudata,1992,2,2,2
218,laudata,1993,8,8,2
219,laudata,1994,5,5,3
220,laudata,1996,2,2,1
221,laudata,1997,5,5,5
222,laudata,1998,2,2,2
223,laudata,1999,2,2,2
224,laudata,2000,6,6,3
225,laudata,2001,2,2,1
226,laudata,2003,2,2,1
227,laudata,2006,5,3,2
228,laudata,2008,2,2,2
229,laudatae,1759,2,2,2
230,laudatae,1806,3,3,3
231,laudatae,1807,2,2,2
232,laudatae,1810,3,3,3
233,laudatae,1822,2,2,2
234,laudatae,1823,2,2,2
235,laudatae,1824,6,6,6
236,laudatae,1826,1,1,1
237,laudatae,1827,2,2,2
238,laudatae,1837,2,2,2
239,laudatae,1838,1,1,1
240,laudatae,1844,1,1,1
241,laudatae,1853,3,3,3
242,laudatae,1857,1,1,1
243,laudatae,1859,1,1,1
244,laudatae,1860,4,4,4
245,laudatae,1861,1,1,1
246,laudatae,1869,1,1,1
247,laudatae,1876,1,1,1
248,laudatae,1880,1,1,1
249,laudatae,1890,2,2,2
250,laudatae,1901,1,1,1
251,laudatae,1904,3,3,3
252,laudatae,1907,1,1,1
253,laudatae,1911,1,1,1
254,laudatae,1918,2,2,2
255,laudatae,1923,1,1,1
256,laudatae,1926,5,5,3
257,laudatae,1929,1,1,1
258,laudatae,1931,1,1,1
259,laudatae,1933,3,3,3
260,laudatae,1934,1,1,1
261,laudatae,1935,2,2,2
262,laudatae,1942,1,1,1
263,laudatae,1947,1,1,1
264,laudatae,1951,2,2,2
265,laudatae,1953,1,1,1
266,laudatae,1954,3,3,3
267,laudatae,1956,1,1,1
268,laudatae,1966,1,1,1
269,laudatae,1974,1,1,1
270,laudatae,1975,1,1,1
271,laudatae,1977,1,1,1
272,laudatae,1983,1,1,1
273,laudatae,1985,2,2,2
274,laudatae,1994,1,1,1
275,laudatae,1999,1,1,1
276,laudatae,2004,1,1,1
277,laudatae,2005,1,1,1
278,laudatae,2006,2,1,1
279,laudatas,1748,1,1,1
280,laudatas,1751,1,1,1
281,laudatas,1800,1,1,1
282,laudatas,1801,1,1,1
283,laudatas,1812,1,1,1
284,laudatas,1826,7,7,7
285,laudatas,1829,1,1,1
286,laudatas,1830,1,1,1
287,laudatas,1837,1,1,1
288,laudatas,1842,1,1,1
289,laudatas,1846,2,2,2
290,laudatas,1847,3,3,3
291,laudatas,1850,1,1,1
292,laudatas,1857,1,1,1
293,laudatas,1858,3,3,3
294,laudatas,1864,1,1,1
295,laudatas,1871,1,1,1
296,laudatas,1874,2,2,2
297,laudatas,1875,6,6,6
298,laudatas,1876,1,1,1
299,laudatas,1881,1,1,1
300,laudatas,1883,2,2,2
301,laudatas,1884,3,3,3
302,laudatas,1890,1,1,1
303,laudatas,1895,1,1,1
304,laudatas,1905,1,1,1
305,laudatas,1907,1,1,1
306,laudatas,1910,1,1,1
307,laudatas,1915,1,1,1
308,laudatas,1921,1,1,1
309,laudatas,1924,1,1,1
310,laudatas,1937,1,1,1
311,laudatas,1961,1,1,1
312,laudatas,1962,1,1,1
313,laudatas,1971,1,1,1
314,laudatas,1979,1,1,1
315,laudatas,1983,1,1,1
316,laudatas,2005,2,1,1
317,mandatario,1807,1,1,1
318,mandatario,1824,1,1,1
319,mandatario,1838,1,1,1
320,mandatario,1840,3,3,3
321,mandatario,1843,1,1,1
322,mandatario,1847,3,3,3
323,mandatario,1849,2,2,2
324,mandatario,1864,4,4,4
325,mandatario,1865,1,1,1
326,mandatario,1870,2,2,2
327,mandatario,1877,2,2,2
328,mandatario,1878,8,8,3
329,mandatario,1880,3,3,3
330,mandatario,1881,4,4,4
331,mandatario,1882,1,1,1
332,mandatario,1884,1,1,1
333,mandatario,1887,11,11,11
334,mandatario,1890,1,1,1
335,mandatario,1891,4,4,4
336,mandatario,1894,1,1,1
337,mandatario,1899,4,4,3
338,mandatario,1900,5,5,5
339,mandatario,1902,1,1,1
340,mandatario,1903,1,1,1
341,mandatario,1904,6,6,6
342,mandatario,1906,2,2,2
343,mandatario,1908,1,1,1
344,mandatario,1909,1,1,1
345,mandatario,1910,1,1,1
346,mandatario,1911,2,2,1
347,mandatario,1914,2,2,2
348,mandatario,1917,3,3,1
349,mandatario,1921,5,4,4
350,mandatario,1925,2,2,2
351,mandatario,1927,1,1,1
352,mandatario,1928,1,1,1
353,mandatario,1930,2,1,1
354,mandatario,1931,6,6,3
355,mandatario,1932,1,1,1
356,mandatario,1935,2,2,1
357,mandatario,1937,2,2,2
358,mandatario,1938,6,5,1
359,mandatario,1940,1,1,1
360,mandatario,1942,2,2,1
361,mandatario,1945,1,1,1
362,mandatario,1950,1,1,1
363,mandatario,1951,1,1,1
364,mandatario,1952,1,1,1
365,mandatario,1953,1,1,1
366,mandatario,1955,13,10,1
367,mandatario,1956,2,2,1
368,mandatario,1958,2,2,2
369,mandatario,1960,1,1,1
370,mandatario,1962,1,1,1
371,mandatario,1965,2,2,1
372,mandatario,1967,5,3,2
373,mandatario,1968,2,2,2
374,mandatario,1970,2,2,2
375,mandatario,1974,1,1,1
376,mandatario,1975,1,1,1
377,mandatario,1982,2,2,1
378,mandatario,1985,1,1,1
379,mandatario,1986,5,5,2
380,mandatario,1989,1,1,1
381,mandatario,1992,1,1,1
382,mandatario,1993,11,11,2
383,mandatario,1994,1,1,1
384,mandatario,1996,1,1,1
385,mandatario,1998,2,2,2
386,mandatario,1999,4,4,1
387,mandatario,2001,4,3,2
388,mandatario,2003,1,1,1
389,mandatario,2004,1,1,1
390,mandatario,2008,9,9,4
391,mandatarios,1812,8,8,2
392,mandatarios,1823,1,1,1
393,mandatarios,1834,1,1,1
394,mandatarios,1835,1,1,1
395,mandatarios,1848,1,1,1
396,mandatarios,1862,1,1,1
397,mandatarios,1870,2,2,2
398,mandatarios,1888,2,2,1
399,mandatarios,1919,1,1,1
400,mandatarios,1921,1,1,1
401,mandatarios,1930,5,5,4
402,mandatarios,1931,2,1,1
403,mandatarios,1932,1,1,1
404,mandatarios,1933,2,2,2
405,mandatarios,1938,3,3,1
406,mandatarios,1942,2,2,2
407,mandatarios,1945,3,3,1
408,mandatarios,1951,2,2,2
409,mandatarios,1952,1,1,1
410,mandatarios,1953,1,1,1
411,mandatarios,1956,1,1,1
412,mandatarios,1962,1,1,1
413,mandatarios,1964,1,1,1
414,mandatarios,1965,1,1,1
415,mandatarios,1967,3,3,1
416,mandatarios,1970,1,1,1
417,mandatarios,1971,1,1,1
418,mandatarios,1972,1,1,1
419,mandatarios,1973,3,3,3
420,mandatarios,1974,1,1,1
421,mandatarios,1978,1,1,1
422,mandatarios,1982,1,1,1
423,mandatarios,1986,10,6,1
424,mandatarios,1987,1,1,1
425,mandatarios,1991,1,1,1
426,mandatarios,1993,5,5,1
427,mandatarios,1995,4,4,4
428,mandatarios,1996,2,2,1
429,mandatarios,1998,2,2,1
430,mandatarios,1999,2,1,1
431,mandatarios,2001,3,3,2
432,mandatarios,2006,1,1,1
433,nndata,1820,1,1,1
434,nndata,1821,1,1,1
435,nndata,1823,1,1,1
436,nndata,1825,2,2,2
437,nndata,1829,1,1,1
438,nndata,1836,1,1,1
439,nndata,1842,1,1,1
440,nndata,1843,1,1,1
441,nndata,1852,1,1,1
442,nndata,1853,1,1,1
443,nndata,1854,1,1,1
444,nndata,1855,1,1,1
445,nndata,1859,1,1,1
446,nndata,1860,1,1,1
447,nndata,1863,1,1,1
448,nndata,1866,1,1,1
449,nndata,1869,3,3,2
450,nndata,1870,2,2,2
451,nndata,1872,1,1,1
452,nndata,1874,1,1,1
453,nndata,1876,2,2,2
454,nndata,1884,1,1,1
455,nndata,1889,2,2,1
456,nndata,1890,3,3,3
457,nndata,1893,1,1,1
458,nndata,1896,1,1,1
459,nndata,1897,2,2,1
460,nndata,1898,1,1,1
461,nndata,1899,1,1,1
462,nndata,1902,2,2,2
463,nndata,1907,1,1,1
464,nndata,1911,1,1,1
465,nndata,1919,1,1,1
466,nndata,1928,1,1,1
467,nndata,1945,1,1,1
468,nndata,1968,1,1,1
469,nondata,1905,4,2,1
470,nondata,1932,1,1,1
471,nondata,1954,1,1,1
472,nondata,1964,1,1,1
473,nondata,1965,1,1,1
474,nondata,1966,22,16,2
475,nondata,1967,7,6,4
476,nondata,1969,9,8,1
477,nondata,1970,1,1,1
478,nondata,1972,9,7,3
479,nondata,1973,5,5,5
480,nondata,1974,3,3,3
481,nondata,1976,24,20,8
482,nondata,1977,2,2,2
483,nondata,1978,2,2,2
484,nondata,1979,2,1,1
485,nondata,1980,3,3,3
486,nondata,1981,9,9,8
487,nondata,1982,9,7,5
488,nondata,1983,6,6,4
489,nondata,1984,12,11,7
490,nondata,1985,19,14,5
491,nondata,1986,8,8,7
492,nondata,1987,7,7,7
493,nondata,1988,22,16,6
494,nondata,1989,22,11,6
495,nondata,1990,7,7,5
496,nondata,1991,5,5,5
497,nondata,1992,6,5,4
498,nondata,1993,20,15,6
499,nondata,1994,3,3,2
500,nondata,1995,4,4,4
501,nondata,1996,1,1,1
502,nondata,1997,2,2,2
503,nondata,1998,2,2,1
504,nondata,1999,7,5,2
505,nondata,2000,10,10,3
506,nondata,2001,11,8,4
507,nondata,2002,6,6,4
508,nondata,2003,5,5,3
509,nondata,2004,1,1,1
510,nondata,2005,1,1,1
511,nondata,2006,4,3,3
512,nondata,2008,1,1,1
513,repandata,1844,2,2,2
514,repandata,1861,2,2,1
515,repandata,1862,7,7,2
516,repandata,1864,2,2,2
517,repandata,1867,1,1,1
518,repandata,1869,1,1,1
519,repandata,1877,2,2,2
520,repandata,1880,1,1,1
521,repandata,1885,1,1,1
522,repandata,1887,2,2,2
523,repandata,1889,2,2,2
524,repandata,1892,5,5,5
525,repandata,1893,9,9,4
526,repandata,1895,2,2,2
527,repandata,1897,1,1,1
528,repandata,1901,2,2,1
529,repandata,1902,2,2,2
530,repandata,1911,1,1,1
531,repandata,1912,2,2,1
532,repandata,1913,10,10,5
533,repandata,1924,1,1,1
534,repandata,1927,1,1,1
535,repandata,1928,2,2,2
536,repandata,1933,1,1,1
537,repandata,1942,3,3,1
538,repandata,1943,6,6,2
539,repandata,1945,3,3,1
540,repandata,1952,5,4,2
541,repandata,1955,10,9,2
542,repandata,1959,5,5,2
543,repandata,1961,1,1,1
544,repandata,1963,2,2,1
545,repandata,1964,14,8,1
546,repandata,1966,2,2,1
547,repandata,1967,4,1,1
548,repandata,1971,1,1,1
549,repandata,1973,1,1,1
550,repandata,1975,1,1,1
551,repandata,1979,1,1,1
552,repandata,1984,1,1,1
553,repandata,2001,2,2,1
554,repandata,2008,1,1,1
555,ricordata,1768,1,1,1
556,ricordata,1788,1,1,1
557,ricordata,1814,4,4,2
558,ricordata,1819,2,2,1
559,ricordata,1824,2,2,2
560,ricordata,1830,5,5,5
561,ricordata,1858,2,2,1
562,ricordata,1878,4,4,4
563,ricordata,1882,1,1,1
564,ricordata,1891,1,1,1
565,ricordata,1892,2,2,2
566,ricordata,1893,1,1,1
567,ricordata,1898,1,1,1
568,ricordata,1906,1,1,1
569,ricordata,1910,1,1,1
570,ricordata,1927,2,2,1
571,ricordata,1928,1,1,1
572,ricordata,1930,2,2,2
573,ricordata,1935,2,2,1
574,ricordata,1949,1,1,1
575,ricordata,1950,2,2,2
576,ricordata,1951,5,4,3
577,ricordata,1953,1,1,1
578,ricordata,1954,1,1,1
579,ricordata,1955,2,2,1
580,ricordata,1956,10,10,9
581,ricordata,1957,1,1,1
582,ricordata,1958,5,5,2
583,ricordata,1961,2,2,1
584,ricordata,1962,1,1,1
585,ricordata,1963,3,3,2
586,ricordata,1964,3,3,2
587,ricordata,1965,1,1,1
588,ricordata,1966,3,3,3
589,ricordata,1969,7,7,4
590,ricordata,1972,6,6,2
591,ricordata,1977,1,1,1
592,ricordata,1978,3,2,2
593,ricordata,1980,1,1,1
594,ricordata,1984,2,2,2
595,ricordata,1985,1,1,1
596,ricordata,1986,4,4,3
597,ricordata,1988,1,1,1
598,ricordata,1989,2,2,1
599,ricordata,1991,1,1,1
600,ricordata,1992,1,1,1
601,ricordata,1993,1,1,1
602,ricordata,1998,1,1,1
603,ricordata,2002,3,3,1
604,ricordata,2006,2,2,2
605,sampleddata,1952,1,1,1
606,sampleddata,1955,18,18,6
607,sampleddata,1956,4,4,4
608,sampleddata,1957,11,9,3
609,sampleddata,1958,22,20,3
610,sampleddata,1959,92,83,11
611,sampleddata,1960,9,9,4
612,sampleddata,1961,9,9,3
613,sampleddata,1962,8,8,4
614,sampleddata,1963,3,3,2
615,sampleddata,1964,20,19,6
616,sampleddata,1965,9,9,1
617,sampleddata,1967,6,6,4
618,sampleddata,1968,5,5,3
619,sampleddata,1969,7,7,4
620,sampleddata,1970,2,2,1
621,sampleddata,1974,2,2,2
622,sampleddata,1975,2,2,2
623,sampleddata,1976,1,1,1
624,sampleddata,1977,2,2,2
625,sampleddata,1980,16,14,4
626,sampleddata,1981,1,1,1
627,sampleddata,1984,3,3,1
628,sampleddata,1985,6,6,2
629,sampleddata,1987,2,2,2
630,sampleddata,1988,3,3,1
631,sampleddata,1989,9,9,2
632,sampleddata,1990,5,5,3
633,sampleddata,1992,2,2,2
634,sampleddata,1993,2,2,2
635,sampleddata,1994,1,1,1
636,sampleddata,1996,7,7,3
637,sampleddata,1997,1,1,1
638,sampleddata,1998,1,1,1
639,sampleddata,1999,2,2,2
640,sampleddata,2000,1,1,1
641,sampleddata,2002,2,2,2
642,sampleddata,2003,1,1,1
643,sampleddata,2004,3,3,2
644,sampleddata,2005,1,1,1
645,sampleddata,2006,1,1,1
646,sampleddata,2008,1,1,1
647,sedata,1584,2,2,1
648,sedata,1792,1,1,1
649,sedata,1807,1,1,1
650,sedata,1811,2,2,2
651,sedata,1812,4,4,4
652,sedata,1814,1,1,1
653,sedata,1816,1,1,1
654,sedata,1817,4,4,4
655,sedata,1818,8,8,8
656,sedata,1819,3,3,3
657,sedata,1820,3,3,3
658,sedata,1824,4,4,4
659,sedata,1825,4,4,4
660,sedata,1826,5,5,5
661,sedata,1827,1,1,1
662,sedata,1828,4,4,4
663,sedata,1829,3,3,3
664,sedata,1831,2,1,1
665,sedata,1834,6,6,6
666,sedata,1835,6,6,6
667,sedata,1837,5,5,5
668,sedata,1838,1,1,1
669,sedata,1839,2,2,2
670,sedata,1840,3,3,3
671,sedata,1841,5,5,3
672,sedata,1843,1,1,1
673,sedata,1844,6,6,6
674,sedata,1845,6,6,6
675,sedata,1846,7,7,7
676,sedata,1847,4,4,4
677,sedata,1848,5,5,5
678,sedata,1849,3,3,3
679,sedata,1850,4,4,4
680,sedata,1851,2,2,2
681,sedata,1852,4,4,4
682,sedata,1853,3,3,3
683,sedata,1855,6,6,6
684,sedata,1856,1,1,1
685,sedata,1857,13,13,13
686,sedata,1858,1,1,1
687,sedata,1859,6,6,6
688,sedata,1860,2,2,2
689,sedata,1861,4,4,4
690,sedata,1862,1,1,1
691,sedata,1863,3,3,3
692,sedata,1864,5,5,5
693,sedata,1865,2,2,2
694,sedata,1867,1,1,1
695,sedata,1868,1,1,1
696,sedata,1869,2,2,2
697,sedata,1870,8,8,7
698,sedata,1871,4,4,4
699,sedata,1872,2,2,2
700,sedata,1874,10,10,9
701,sedata,1876,12,12,10
702,sedata,1877,5,5,3
703,sedata,1878,6,6,6
704,sedata,1879,2,2,2
705,sedata,1880,1,1,1
706,sedata,1881,6,6,3
707,sedata,1883,2,2,2
708,sedata,1884,3,3,3
709,sedata,1886,3,3,3
710,sedata,1887,3,3,3
711,sedata,1888,4,4,2
712,sedata,1889,1,1,1
713,sedata,1890,5,5,4
714,sedata,1891,1,1,1
715,sedata,1896,2,2,1
716,sedata,1897,1,1,1
717,sedata,1898,1,1,1
718,sedata,1899,2,2,2
719,sedata,1902,1,1,1
720,sedata,1903,8,8,2
721,sedata,1905,5,5,3
722,sedata,1908,3,3,3
723,sedata,1910,4,4,2
724,sedata,1911,1,1,1
725,sedata,1913,2,2,1
726,sedata,1914,1,1,1
727,sedata,1916,2,2,2
728,sedata,1917,1,1,1
729,sedata,1919,6,6,5
730,sedata,1921,2,2,1
731,sedata,1923,3,3,3
732,sedata,1924,6,6,2
733,sedata,1926,2,2,1
734,sedata,1927,3,3,3
735,sedata,1928,2,2,2
736,sedata,1929,2,2,2
737,sedata,1930,2,2,2
738,sedata,1933,3,3,3
739,sedata,1934,2,2,2
740,sedata,1935,3,3,3
741,sedata,1939,1,1,1
742,sedata,1941,1,1,1
743,sedata,1942,4,4,2
744,sedata,1949,2,2,2
745,sedata,1951,1,1,1
746,sedata,1955,1,1,1
747,sedata,1957,2,2,2
748,sedata,1958,2,2,2
749,sedata,1961,4,4,3
750,sedata,1962,2,2,2
751,sedata,1963,1,1,1
752,sedata,1964,1,1,1
753,sedata,1968,1,1,1
754,sedata,1969,3,3,2
755,sedata,1973,2,2,1
756,sedata,1974,1,1,1
757,sedata,1975,2,2,2
758,sedata,1978,1,1,1
759,sedata,1979,1,1,1
760,sedata,1980,1,1,1
761,sedata,1981,1,1,1
762,sedata,1983,1,1,1
763,sedata,1985,1,1,1
764,sedata,1988,1,1,1
765,sedata,1994,3,3,2
766,sedata,1996,2,2,2
767,sedata,1998,4,2,2
768,sedata,2000,1,1,1
769,sedata,2001,1,1,1
770,sedata,2004,1,1,1
771,sedata,2006,1,1,1
772,solidatas,1812,9,4,3
773,solidatas,1814,1,1,1
774,solidatas,1815,1,1,1
775,solidatas,1816,1,1,1
776,solidatas,1818,6,3,2
777,solidatas,1821,1,1,1
778,solidatas,1826,2,2,2
779,solidatas,1828,4,4,4
780,solidatas,1829,2,2,1
781,solidatas,1831,4,4,2
782,solidatas,1835,7,4,4
783,solidatas,1838,3,2,1
784,solidatas,1840,1,1,1
785,solidatas,1845,5,5,1
786,solidatas,1848,5,5,1
787,solidatas,1853,13,13,2
788,solidatas,1854,2,2,2
789,solidatas,1855,8,4,2
790,solidatas,1857,4,4,4
791,solidatas,1858,5,5,5
792,solidatas,1860,9,5,4
793,solidatas,1861,1,1,1
794,solidatas,1864,5,1,1
795,solidatas,1865,1,1,1
796,solidatas,1866,2,2,1
797,solidatas,1869,2,2,2
798,solidatas,1870,4,1,1
799,solidatas,1871,3,1,1
800,solidatas,1872,1,1,1
801,solidatas,1874,4,1,1
802,solidatas,1875,1,1,1
803,solidatas,1876,24,18,18
804,solidatas,1877,1,1,1
805,solidatas,1879,75,9,5
806,solidatas,1881,14,5,5
807,solidatas,1882,32,26,6
808,solidatas,1883,1,1,1
809,solidatas,1885,1,1,1
810,solidatas,1886,70,27,3
811,solidatas,1887,1,1,1
812,solidatas,1888,5,3,3
813,solidatas,1889,6,3,3
814,solidatas,1890,4,1,1
815,solidatas,1892,4,4,3
816,solidatas,1893,2,2,1
817,solidatas,1896,2,2,2
818,solidatas,1897,1,1,1
819,solidatas,1898,5,5,5
820,solidatas,1899,1,1,1
821,solidatas,1903,4,2,1
822,solidatas,1905,3,3,3
823,solidatas,1906,2,2,1
824,solidatas,1907,1,1,1
825,solidatas,1910,10,4,4
826,solidatas,1911,9,8,3
827,solidatas,1913,4,1,1
828,solidatas,1914,3,2,2
829,solidatas,1915,13,10,2
830,solidatas,1916,1,1,1
831,solidatas,1919,1,1,1
832,solidatas,1920,23,2,1
833,solidatas,1921,3,3,1
834,solidatas,1923,11,5,3
835,solidatas,1924,1,1,1
836,solidatas,1925,1,1,1
837,solidatas,1926,4,1,1
838,solidatas,1927,16,12,4
839,solidatas,1931,1,1,1
840,solidatas,1932,1,1,1
841,solidatas,1939,3,3,1
842,solidatas,1942,8,2,2
843,solidatas,1943,2,2,1
844,solidatas,1948,3,2,1
845,solidatas,1951,1,1,1
846,solidatas,1955,2,2,1
847,solidatas,1956,5,5,1
848,solidatas,1963,2,2,1
849,solidatas,1965,3,3,1
850,solidatas,1970,1,1,1
851,solidatas,1971,1,1,1
852,solidatas,1980,1,1,1
853,solidatas,1985,2,2,1
854,solidatas,2004,2,1,1
855,validatable,1931,1,1,1
856,validatable,1948,1,1,1
857,validatable,1949,2,2,2
858,validatable,1950,5,5,3
859,validatable,1954,1,1,1
860,validatable,1959,2,2,2
861,validatable,1961,1,1,1
862,validatable,1964,3,3,2
863,validatable,1965,2,2,2
864,validatable,1966,1,1,1
865,validatable,1968,4,4,3
866,validatable,1969,9,9,5
867,validatable,1970,2,2,2
868,validatable,1971,3,3,3
869,validatable,1972,1,1,1
870,validatable,1973,8,8,4
871,validatable,1974,2,2,1
872,validatable,1975,2,2,2
873,validatable,1976,1,1,1
874,validatable,1977,5,4,4
875,validatable,1978,1,1,1
876,validatable,1979,3,3,3
877,validatable,1980,6,6,5
878,validatable,1981,5,5,3
879,validatable,1982,1,1,1
880,validatable,1984,1,1,1
881,validatable,1985,5,5,5
882,validatable,1986,1,1,1
883,validatable,1987,3,3,3
884,validatable,1988,7,7,5
885,validatable,1989,7,7,6
886,validatable,1990,1,1,1
887,validatable,1991,3,3,2
888,validatable,1992,7,7,3
889,validatable,1993,3,3,2
890,validatable,1994,7,7,5
891,validatable,1995,5,5,3
892,validatable,1996,6,6,4
893,validatable,1997,6,6,4
